티커	기업명
AAPL	Apple Inc. (애플)
NVDA	NVIDIA Corporation (엔비디아)
MSFT	Microsoft Corporation (마이크로소프트)
GOOGL	Alphabet Inc. Class A (알파벳 A)
AMZN	Amazon.com, Inc. (아마존)
META	Meta Platforms, Inc. (메타, 페이스북)
TSLA	Tesla, Inc. (테슬라)
AVGO	Broadcom Inc. (브로드컴)
ASML	ASML Holding N.V. (ASML 홀딩)
PEP	PepsiCo, Inc. (펩시코)
COST	Costco Wholesale Corporation (코스트코)
CSCO	Cisco Systems, Inc. (시스코 시스템즈)
TMUS	T-Mobile US, Inc. (티모바일 US)
TXN	Texas Instruments Incorporated (텍사스 인스트루먼츠)
ADBE	Adobe Inc. (어도비)
CMCSA	Comcast Corporation (컴캐스트)
AMGN	Amgen Inc. (암젠)
QCOM	QUALCOMM Incorporated (퀄컴)
HON	Honeywell International Inc. (허니웰)
INTC	Intel Corporation (인텔)
AMD	Advanced Micro Devices, Inc. (AMD)
INTU	Intuit Inc. (인튜이트)
SBUX	Starbucks Corporation (스타벅스)
AMAT	Applied Materials, Inc. (어플라이드 머티어리얼즈)
MDLZ	Mondelez International, Inc. (몬델리즈)
BKNG	Booking Holdings Inc. (부킹 홀딩스)
ISRG	Intuitive Surgical, Inc. (인튜이티브 서지컬)
ADI	Analog Devices, Inc. (아날로그 디바이스)
GILD	Gilead Sciences, Inc. (길리어드 사이언스)
LRCX	Lam Research Corporation (램 리서치)
REGN	Regeneron Pharmaceuticals, Inc. (리제네론 제약)
MU	Micron Technology, Inc. (마이크론 테크놀로지)
VRTX	Vertex Pharmaceuticals Incorporated (버텍스 제약)
FISV	Fiserv, Inc. (피서브)
ATVI	Activision Blizzard, Inc. (액티비전 블리자드)
KLAC	KLA Corporation (KLA 코퍼레이션)
MRVL	Marvell Technology, Inc. (마벨 테크놀로지)
PANW	Palo Alto Networks, Inc. (팔로알토 네트웍스)
ADP	Automatic Data Processing, Inc. (ADP)
CSX	CSX Corporation (CSX 코퍼레이션)
MELI	MercadoLibre, Inc. (메르카도리브레)
KDP	Keurig Dr Pepper Inc. (케우리그 닥터 페퍼)
MAR	Marriott International, Inc. (메리어트 인터내셔널)
FTNT	Fortinet, Inc. (포티넷)
MNST	Monster Beverage Corporation (몬스터 베버리지)
CTAS	Cintas Corporation (신시내티 머천다이즈)
AEP	American Electric Power Company, Inc. (아메리칸 일렉트릭 파워)
ORLY	O'Reilly Automotive, Inc. (오라일리 오토모티브)
IDXX	IDEXX Laboratories, Inc. (아이덱스 래버러토리스)
LULU	Lululemon Athletica Inc. (룰루레몬 애슬레티카)
